target,outer_fold,selected_candidate,train_groups,test_groups,train_rows,test_rows,mae,mape,spearman
latency_ms,0,extra_trees_log,35,9,139,35,1.1724424216320561,0.19153292157062662,0.9649859943977593
latency_ms,1,extra_trees_log,35,9,138,36,0.8327335645173777,0.1674559442795053,0.9729068814792023
latency_ms,2,extra_trees_log,35,9,138,36,0.6561755338904934,0.21330151203900716,0.9720684853341128
latency_ms,3,extra_trees_log,35,9,138,36,1.1367542395176895,0.2691369124271714,0.9783126347563722
latency_ms,4,extra_trees_log,36,8,143,31,1.0700701388797207,0.30295948584126037,0.9766082069909784
energy_j,0,lgbm_huber_raw,35,9,139,35,0.23607738766434605,0.29493249031846347,0.9153302074411108
energy_j,1,extra_trees_log,35,9,138,36,0.11219664381559907,0.21462505118530628,0.9459459459459459
energy_j,2,extra_trees_log,35,9,138,36,0.2739068203256708,2.565165135981598,0.8917492672662518
energy_j,3,extra_trees_log,35,9,138,36,0.23668781634473335,0.3043487433125911,0.9142857142857144
energy_j,4,extra_trees_log,36,8,143,31,0.18084465911605888,0.3526043625039536,0.9327553228166766
ap70,0,lgbm_huber_residual,35,9,139,35,0.04976816930739121,0.3275293963781599,0.8133409349519708
ap70,1,lgbm_huber_residual,35,9,138,36,0.04355202841326502,0.11332811090894546,0.9098060491860845
ap70,2,lgbm_l1_residual,35,9,138,36,0.03200335430168848,0.13663596555971677,0.8743886743886745
ap70,3,lgbm_l1_residual,35,9,138,36,0.05738393355184812,252.13760530468457,0.8323572962727875
ap70,4,lgbm_huber_residual,36,8,143,31,0.029370370517545416,0.06596045061981357,0.8443460190460198
